,strDrink,strCategory,strIngredients,Alc_type,Basic_cocktail_taste,Basic_taste,Value_ml,Value_gr,Garnish_type
0,57 Chevy with a White License Plate,Cocktail,Creme De Cacao White,Creamy Liqueur,Sweet,,30,,
1,57 Chevy with a White License Plate,Cocktail,Vodka,Vodka,Sweet,,30,, 
2,1-900-FUK-MEUP,Shot,Grand Marnier,Triple Sec,,,7.5,,
3,1-900-FUK-MEUP,Shot,Midori Melon Liqueur,Sweet Liqueur,,,7.5,,
4,1-900-FUK-MEUP,Shot,Malibu Rum,Rum,,,7.5,,
5,1-900-FUK-MEUP,Shot,Amaretto,Sweet Liqueur,,,7.5,,
6,1-900-FUK-MEUP,Shot,Cranberry Juice,,,sour,15,,
7,1-900-FUK-MEUP,Shot,Pineapple,,,sweet,7.5,,
8,1-900-FUK-MEUP,Shot,Chambord Raspberry Liqueur,Sweet Liqueur,,,7.5,,
9,1-900-FUK-MEUP,Shot,Absolut Kurant,Vodka,,,15,,
10,110 in the shade,Beer,Tequila,Tequila,Bitter,,45,,
11,110 in the shade,Beer,Lager,Beer,Bitter,,480,,
12,151 Florida Bushwacker,Milk / Float / Shake,Dark Creme De Cacao,Creamy Liqueur,Creamy,,30,,
13,151 Florida Bushwacker,Milk / Float / Shake,Coconut Liqueur,Sweet Liqueur,Creamy,,30,,
14,151 Florida Bushwacker,Milk / Float / Shake,Light Rum,Rum,Creamy,,15,,
15,151 Florida Bushwacker,Milk / Float / Shake,Milk,,Creamy,cream,90,,
16,151 Florida Bushwacker,Milk / Float / Shake,Cointreau,Triple Sec,Creamy,,30,,
17,151 Florida Bushwacker,Milk / Float / Shake,Malibu Rum,Rum,Creamy,,15,,
18,151 Florida Bushwacker,Milk / Float / Shake,Vanilla Ice-Cream,,Creamy,cream,,128,
19,151 Florida Bushwacker,Milk / Float / Shake,151 Proof Rum,Rum,Creamy,,15,,
20,155 Belmont,Cocktail,Light Rum,Rum,,,50,,
21,155 Belmont,Cocktail,Orange,,,sweet,25,,
22,155 Belmont,Cocktail,Vodka,Vodka,,,25,,
23,155 Belmont,Cocktail,Dark Rum,Rum,,,25,,
24,24k nightmare,Shot,Jägermeister,Bitters,Bitter,,15,,
25,24k nightmare,Shot,Goldschlager,Schnapps,Bitter,,15,,
26,24k nightmare,Shot,151 Proof Rum,Rum,Bitter,,15,,
27,24k nightmare,Shot,Rumple Minze,Rum,Bitter,,15,,
28,252,Shot,Wild Turkey,Whisky,Bitter,,12.5,,
29,252,Shot,151 Proof Rum,Rum,Bitter,,12.5,,
30,3 Wise Men,Shot,Jim Beam,Whisky,Bitter,,10,,
31,3 Wise Men,Shot,Johnnie Walker,Whisky,Bitter,,10,,
32,3 Wise Men,Shot,Jack Daniels,Whisky,Bitter,,10,,
33,3-Mile Long Island Iced Tea,Ordinary Drink,Light Rum,Rum,Sweet,,15,,
34,3-Mile Long Island Iced Tea,Ordinary Drink,Vodka,Vodka,Sweet,,15,,
35,3-Mile Long Island Iced Tea,Ordinary Drink,Coca-Cola,,Sweet,sweet,200,,
36,3-Mile Long Island Iced Tea,Ordinary Drink,Sweet And Sour,,Sweet,sweet,30,,
37,3-Mile Long Island Iced Tea,Ordinary Drink,Triple Sec,Triple Sec,Sweet,,15,,
38,3-Mile Long Island Iced Tea,Ordinary Drink,Bitters,Bitters,Sweet,,1,,
39,3-Mile Long Island Iced Tea,Ordinary Drink,Lemon,,Sweet,sour,,,wedge
40,3-Mile Long Island Iced Tea,Ordinary Drink,Gin,Gin,Sweet,,15,,
41,3-Mile Long Island Iced Tea,Ordinary Drink,Tequila,Tequila,Sweet,,15,,
42,410 Gone,Ordinary Drink,Coca-Cola,,Sweet,sweet,,,
43,410 Gone,Ordinary Drink,Peach Vodka,Vodka,Sweet,,75,,
44,50/50,Ordinary Drink,Orange,,Sweet,sweet,,,top up
45,50/50,Ordinary Drink,Vanilla Vodka,Vodka,Sweet,,75,,
46,50/50,Ordinary Drink,Grand Marnier,Triple Sec,Sweet,,6,,
47,501 Blue,Ordinary Drink,Sour Mix,,Sour,sour,,,
48,501 Blue,Ordinary Drink,Blueberry Schnapps,Schnapps,Sour,,,,
49,501 Blue,Ordinary Drink,Blue Curacao,Triple Sec,Sour,,,,
50,501 Blue,Ordinary Drink,Vodka,Vodka,Sour,,,,
51,501 Blue,Ordinary Drink,7-Up,,Sour,sweet,,,
52,69 Special,Ordinary Drink,7-Up,,Sour,sweet,120,,
53,69 Special,Ordinary Drink,Gin Dry,Gin,Sour,,60,,
54,69 Special,Ordinary Drink,Lemon,,Sour,sour,22.5,,
55,747,Shot,Bailey'S Irish Cream,Creamy Liqueur,Creamy,,10,,
56,747,Shot,Kahlua,Creamy Liqueur,Creamy,,10,,
57,747,Shot,Frangelico,Sweet Liqueur,Creamy,,10,,
58,9 1/2 Weeks,Cocktail,Orange Curacao,Triple Sec,Fruity,,15,,
59,9 1/2 Weeks,Cocktail,Strawberry Liqueur,Sweet Liqueur,Fruity,,6,,
60,9 1/2 Weeks,Cocktail,Orange,,Fruity,sweet,30,,
61,9 1/2 Weeks,Cocktail,Absolut Citron,Vodka,Fruity,,60,,
62,A Day at the Beach,Ordinary Drink,Grenadine,,,sweet,15,,
63,A Day at the Beach,Ordinary Drink,Amaretto,Sweet Liqueur,,,15,,
64,A Day at the Beach,Ordinary Drink,Orange,,,sweet,120,,
65,A Day at the Beach,Ordinary Drink,Coconut Rum,Rum,,,30,,
66,A Furlong Too Late,Ordinary Drink,Ginger Beer,,Sour,sweet,120,,
67,A Furlong Too Late,Ordinary Drink,Lemon Peel,,Sour,sour,,,twist
68,A Furlong Too Late,Ordinary Drink,Light Rum,Rum,Sour,,60,,
69,A Gilligan's Island,Cocktail,Peach Schnapps,Schnapps,Fruity,,30,,
70,A Gilligan's Island,Cocktail,Cranberry Juice,,Fruity,sour,90,,
71,A Gilligan's Island,Cocktail,Orange,,Fruity,sweet,90,,
72,A Gilligan's Island,Cocktail,Vodka,Vodka,Fruity,,30,,
73,A Night In Old Mandalay,Ordinary Drink,Ginger Ale,,Sour,sweet,90,,
74,A Night In Old Mandalay,Ordinary Drink,Lemon Peel,,Sour,sour,,,twist
75,A Night In Old Mandalay,Ordinary Drink,Lemon,,Sour,sour,15,,
76,A Night In Old Mandalay,Ordinary Drink,Añejo Rum,Rum,Sour,,30,,
77,A Night In Old Mandalay,Ordinary Drink,Light Rum,Rum,Sour,,30,,
78,A Night In Old Mandalay,Ordinary Drink,Orange,,Sour,sweet,30,,
79,A Piece of Ass,Other/Unknown,Sour Mix,,Sour,sour,,,
80,A Piece of Ass,Other/Unknown,Amaretto,Sweet Liqueur,Sour,,25,,
81,A Piece of Ass,Other/Unknown,Southern Comfort,Whisky,Sour,,25,,
82,A Splash of Nash,Shot,Creme De Banane,Sweet Liqueur,Fruity,,15,,
